 GET /api/v2/mundial/invoices?invoicePaymentStatus=Paid - - ms PostmanRuntime/7.41.1 Fri, 16 Aug 2024 16:54:07 GMT
 GET /api/v2/mundial/invoices?invoicePaymentStatus=Paid 200 10.677 ms PostmanRuntime/7.41.1 Fri, 16 Aug 2024 16:54:09 GMT
 GET / 304 3244.276 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:04 GMT
 GET / 304 83.168 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:05 GMT
 GET /payments/view 304 725.606 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:08 GMT
 GET /payments/view 304 130.768 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:09 GMT
 GET /payment/728d3f24-a802-4f96-a494-2bce3129c3dc 304 235.141 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:11 GMT
 GET /payment/728d3f24-a802-4f96-a494-2bce3129c3dc 304 144.966 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:11 GMT
 GET /api/v2/mundial/invoices?invoicePaymentStatus=Unpaid&invoicePaymentStatus=Partially%20Paid 304 19.274 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:11 GMT
 PATCH /api/v2/mundial/payments/669e95f890ade1599c05da92 200 117.734 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:30 GMT
 GET /payment/728d3f24-a802-4f96-a494-2bce3129c3dc 200 126.797 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:32 GMT
 GET /payment/728d3f24-a802-4f96-a494-2bce3129c3dc 304 125.870 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:33 GMT
 GET /api/v2/mundial/invoices?invoicePaymentStatus=Unpaid&invoicePaymentStatus=Partially%20Paid 200 19.771 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:33 GMT
 DELETE /api/v2/mundial/payments/669e95f890ade1599c05da92 400 6.466 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:36 GMT - error-message: This Payment cannot be deleted because it is used on an Invoice
 DELETE /api/v2/mundial/payments/669e95f890ade1599c05da92 400 4.234 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:44 GMT - error-message: This Payment cannot be deleted because it is used on an Invoice
 PATCH /api/v2/mundial/payments/669e95f890ade1599c05da92 200 5.551 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:48 GMT
 GET /payment/728d3f24-a802-4f96-a494-2bce3129c3dc 304 80.690 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:50 GMT
 GET /payment/728d3f24-a802-4f96-a494-2bce3129c3dc 304 145.245 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:50 GMT
 GET /api/v2/mundial/invoices?invoicePaymentStatus=Unpaid&invoicePaymentStatus=Partially%20Paid 304 34.787 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:50 GMT
 PATCH /api/v2/mundial/invoices/669e8d2f0f86ad4018002e75/payment/669e95f890ade1599c05da92/unlink 200 3.964 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:52 GMT
 GET /payment/728d3f24-a802-4f96-a494-2bce3129c3dc 200 75.835 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:52 GMT
 GET /payment/728d3f24-a802-4f96-a494-2bce3129c3dc 304 92.404 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:53 GMT
